ARISTA,Sowing the Fields,
ARIZA,Doors of Cedar,
ARLEN,Pledge,
ARLENE,Pledge,
ARLO,Hill,
ARLYNDA,Pledge,
ARMAND,Of the Army,
ARMANDE,From the name ARMAND (Fr),
ARMANDO,From the name ARMAND (It/Sp),
ARMINA,Noble,
ARNAUD,Ruler of Eagles,
ARNE,Eagle,
ARNIE,From the name ARNE OR ARNOLD,
ARNOLD,Strong as an Eagle,
ARON,From the name AARON,
ART,A Rock,
ARTEMIS,Goddess of the Moon,
ARTHUR,A follower of Thor,
ARTIE,From the name ARTHUR,
ARTY,From the name ARTHUR,
ARVID,Eagle Tree (Po),
ARVIN,Friend to All (Gr),
ASA,Starting Life at Dawn,
ASABI,One of Select Birth (Af),
ASALIE,Starting Life at Dawn,
ASASIA,alt form of Acacia,
ASH,From the name ASHLEY,
ASHA,Life,
ASHBY,Ash Tree Farm,
ASHLEY,From the Ash Tree,
ASHLING,Dream,
ASHLYN,ROOTS  ASHLEY&LYN,
ASHTON,Ash Tree Settlement,
ASHTYN,From the Ash Tree Town,
ASIS,Sun (Af),
ASLI,Original,
ASNEE,Lightning,
ASTA,Bright as a Star,
ASTHORE,Loved One,
ASTIN,Starlike,
ASTRA,Star,
ASTRID,Divine Strength,
ATALO,Youthful (Gk),
ATHALIA,God is Exalted (HI),
ATHENA,Goddess of Wisdom & War,
ATIRA,Prayer,
AUBERTA,Noble,
AUBREY,Noble,
AUBRIANNA,Noble,
AUDI,Last Daughter (Af),
AUDRA,From AUDREY,
AUDREY,Noble Strength,
AUGUST,From the name AUGUSTUS,
AUGUSTIN,Revered,
AUGUSTUS,Revered,
AULII,Delicious (HI),
AURE,Soft Air,
AURELIA,Golden,
AURORA,Dawn,
AURORETTE,FROM AURORA,
AUSTIN,From the name AUGUSTIN,
AUTUMN,Fall Season,
AVA,Like a Bird,
AVALON,Island,
AVEL,Breath (Gk),
AVELINE,Hazel,
AVERY,From the name ALFRED (Br),
AVI,Lord of Mine,
AVIS,Birds,
AVIV,Youth (Hb),
AVIVA,Joyful Spring,
AVONGARA,To Tie (Af),
AXEL,Source of all Life (Gr),
AXELLE,Father of Peace (Fr),
AYA,Bird,
AYAME,Iris (Jp),
AYANNA,Innocent,
AYLA,The Oak Tree,
AYOKA,One who Causes Joy (Af),
AYSHA,Life,
AZANA,Ultimate (Af),
AZIZA,Beloved,
AZIZE,Highly Valued,
AZRA,Pure,
AZRIEL,God is My Aid,
AZUKA,Past Glory (Af),
AZURA,Sky Blue,
BABA,Born on Thursday,
BABETTE,From the name ELIZABETH,
BAHARI,Sea Man (Af),
BAILEY,Bailiff,
BAIRD,The Minstrel,
BAIRN,Scottish name for a child,
BAKULA,Flower,
BALLARD,A Dancing Song,
BALTHASAR,One of the 3 Kings (Gk),
BAMBI,Child,
BANJI,Second Born of Twins (Af),
BARAKE,God's Blessing (Af),
BARB,From the name BARBARA,
BARBARA,Strange,
BARBIE,From the name BARBARA,
BARCLAY,From the meadow of the Birch Tree,
BARKE,Blessings (Af),
BARNABAS,Son of a Prophecy,
BARNARD,From the name BERNARD,
BARNEY,From the name BERNARD,
BARNY,From the name BERNARD,
BARR,From the name BARRETTA,
BARRAN,Little Top,
BARRETTA,A Cap,
BARRY,Son of HARRY,
BART,From the name BARTHOLEMEW,
BARTH,From the name BARTHOLEMEW,
BARTHOLEMEW,Hill,
BARTON,Bart's Town,
BARUCH,Blessed (Hb),
BARY,From the name BARRY,
BASH,Forerunner (Af),
BASIL,Like a King,
BAST,Of the City of Bubastis (Af),
BASTIEN,Venerable,
BAXTER,A Baker,
BAYARD,With Red-Brown Hair,
BAYEN,From Ban,
BAYLEE,Bailiff,
BAYO,Joy is Found,
BEA,From the name BEATRICE,
BEATA,Happy,
BEATE,The One Who Brings Joy,
BEATRICE,Bringer of Joy,
BEATRIZ,Blessed,
BEAU,From the name BEAUREGARD,
BEAUREGARD,Beautiful,
BEBE,Baby,
BEBHIN,Sweet,
BECCA,From the name REBECCA,
BECK,The Brook,
BECKA,From the name REBECCA,
BECKY,From the name REBECCA,
BEL,Sacred Wood,
BELA,She of Porcelain Skin,
BELAY,Above,
BELDEN,From the Fair Valley,
BELINDA,Beautiful Snake,
BELITA,Beautiful,
BELL,From the name BELLE,
BELLA,From the name BELLE,
BELLE,Beauty,
BELLINI,From the name BELLE,
BEN,From the name BENEDICT,
BENA,Pheasant,
BENARD,FROM BERNARD (Fr),
BENEDICT,Blessed,
BENEN,Kind,
BENITA,Fem. form of BENEDICT,
BENJAMIN,Son of My Right Hand,
BENJY,From the name BENJAMIN,
BENNETT,Little Blessed One,
BENNY,From the name BENJAMIN,
BENSON,Son of BENJAMIN,
BERDINE,Bright Maiden (Gk),
BERKE,From the name BURKE,
BERN,From the name BERNARD,
BERNADETTE,From the name BERNARD,
BERNADINE,From the name BERNARD,
BERNARD,Bold As A Bear,
BERNE,From the name BERN,
BERNICE,Brings Victory,
BERNIE,From the name BERNARD,
BERNY,From the name BERNARD,
BERT,Bright,
BERTHA,Shining,
BERTILLE,Heroine,
BERYL,Dazzling Jewel,
BESS,From the name ELIZABETH,
BESSIE,From the name ELIZABETH,
BETH,From the name ELIZABETH,
BETHAN,Consecrated to God (Wl),
BETHANY,House of Figs,
BETSY,From the name ELIZABETH,
BETTE,From the name ELIZABETH,
BETTY,From the name ELIZABETH,
BEULAH,Married,
BEVAN,Son of Evan,
BEVERLY,Near the Meadow of the Beavers,
BEVIS,Bowman,
BEYLA,By God!,
BIANA,Secretive,
BIANCA,From the name BLANCHE,
BIBIANE,Lively,
BIDELIA,High One,
BIKITA,Anteater (Af),
BILEN,Pupil of an Eye,
BILL,From the name WILLIAM,
BILLY,From the name WILLIAM,
BIN,From the name BINGHAM,
BINA,Freshness (Af),
BING,Pet form of BINGHAM,
BINGHAM,Crib,
BIRCH,Birch Tree,
BISBEE,Location Name,
BISHOP,A Bishop (Br),
BITON,Born after Long Wait (Af),
BJORN,Bear,
BLADE,Knife,
BLAINE,The Source of a River,
BLAIR,Field or Plain,
BLAKE,White,
BLANCHE,White,
BLAZE,A Flame,
BLENDA,From the name BELINDA,
BLINDA,From the name BELINDA,
BLISS,Perfect Joy,
BLITHE,From the name BLYTHE,
BLODWYN,Flower,
BLOSSOM,Flower-like,
BLUM,Flower,
BLUMA,A Flower,
BLYTHE,Happy,
BO,Most Treasured,
BOAZ,Swift,
BOB,From the name ROBERT,
BONA,A Builder,
BONAVENTURE,Good Luck,
BOND,To Bind,
BONITA,Pretty,
BONNIE,From the name BONITA,
BONO,All Good,
BOONE,Good,
BORIS,Warrior,
BOWEN,Son of OWEN,
BOWIE,From the name BOWEN,
BOYD,Yellow Haired,
BRACHA,A Blessing (Hb),
BRAD,Broad Meadow,
BRADEN,Broad,
BRADFORD,A Broad Ford,
BRADLEY,A Broad Lea,
BRAEDEN,From the Dark Valley,
BRAIMA,Father of Multitudes (Af),
BRAN,From the name BRAND,
BRAND,From the name BRIAN,
BRANDEE,Brandy,
BRANDIE,From BRANDY,
BRANDON,From the name BRENDAN,
BRANT,From the name BRAND,
BRAXTON,Brock's Town,
BRAYDEN,Brave,
BRAZIL,Strife,
BREANNA,Strong, Honorable
BRECKIN,Freckled,
BREDE,The Glaciar (Po),
BREE,Broth,
BREIN,Fairy Palace,
BREND,From the name BRENDAN,
BRENDA,Feminine form of BRENDAN,
BRENDAN,A Raven,
BRENNA,Little Raven,
BRENNAN,Raven-like,
BRENT,A Steep Climb,
BRETT,Briton,
BREWSTER,One Who Brews Beer,
BRIAN,Strong One,
BRIANA,Strong, Honorable
BRIANNA,(F) See BRIAN,
BRIANNE,(F) See BRIAN,
BRIAR,From the name BRIAN,
BRICE,The Son of RICE,
BRICK,From the name BRICE,
BRIDGET,Strong,
BRIDGIT,From the name BRIDGET,
BRIELLE,Region in France,
BRIER,Heather,
BRIGHAM,Covered Bridge,
BRIGHTON,A Brit,
BRIGIT,Strong,
BRIGITTE,From the name BRIDGET,
BRILANE,From Brigham Lane,
BRILLIANT,To Sparkle,
BRINA,From SABRINA,
BRINLY,Virtuous,
BRIT,From the name BRITANNIA,
BRITA,From the name BRITTANIA,
BRITAIN,From the name BRITTANIA,
BRITANNIA,From the name BRITTANIA,
BRITANY,From the name BRITTANIA,
BRITTANIA,From Brittain,
BRITTANY,From the name BRITTANIA,
BRITTNEE,From Britain,
BROCK,A Badger,
BRODY,Root BRODERICK,
BRONE,Sorrow,
BRONSON,Strong,
BRONWEN,Dark and Pure (Wl),
BROOKE,Brook,
BROOKLYN,Brook,
BROOKS,Running Water,
BRUCE,Woods,
BRUNO,Brown Haired,
BRYAN,Strong One,
BRYANNE,Strong One,
BRYANT,Strong,
BRYCE,From the name BRICE,
BRYGID,Strength (Po),
BRYNN,Small Hill,
BRYONY,Vine with Small Blossoms,
BRYTON,A Brit,
BUCK,Deer,
BUD,Messenger,
BUDDY,Friend,
BUFFY,From the name BUNNY,
BUNNY,Little Rabbit,
BURDETTE,Courageous,
BURKE,From the fortress,
BURT,From the name BURTON,
BURTON,Fortress,
BUTTERFLY,A Butterfly,
BUZZ,From a Nickname,
BYRD,Like a Bird,
BYRON,Bear or Cottage,
CADE,Pure,
CADEE,Pure,
CADENCE,To Fall,
CADY,Simple Happiness,
CAEL,Victorious People,
CAELAN,Victorious People,
CAESAR,From the name CESAR,
CAI,Fair Sex,
CAILEAN,The Child,
CAIMILE,A Family is Born (Af),
CAIN,Spear,
CAINE,From the name CAIN,
CAIRBRE,Strong Man,
CAIRO,City of Pharohs,
CAIS,Rejoicer,
CAITLIN,From the name CAITLYN,
CAITLYN,From the name CATHERINE,
CAL,Short for names beginning with CAL,
CALA,Castle (Ar),
CALAIS,City in France,
CALANDRA,Singing Bird,
CALANTHA,Like a Lovely Blossom,
CALDER,Stream,
CALE,Form of Caleb,
CALEB,Faithful,
CALEY,Brave Warrior,
CALHOUN,Warrior,
CALIX,Very Handsome,
CALIXTE,Very Beautiful,
CALLA,Beauty,
CALLIA,Beautiful (Fr),
CALLIOPE,One With Beautiful Voice,
CALLISTA,Most Beautiful,
CALLUM,Dove,
CALVIN,Bald,
CALVINE,From the name Calvin,
CAM,From the name CAMERON,
CAMDYN,Winding Valley,
CAMERON,Bent Nose,
CAMILLA,From the name CAMILLE,
CAMILLE,Virginal,
CAMLIN,Crooked line,
CANA,Beloved (Tk),
CANDACE,Fire White,
CANDICE,From the name CANDACE,
CANDIDA,Dazzling White,
CANDIDE,Dazzling White,
CANDIE,From the name CANDACE,
CANDY,From the name CANDACE,
CARA,Sweet Melody,
CARALEE,From CARA and LEE,
CARESSE,Beloved,
CARHA,A Pillar stone,
CARINA,Dear Little One,
CARL,Contraction of CHARLES,
CARLA,Fem. form of CARL,
CARLETON,Carl's Town or Farmer's Town,
CARLISLE,Carl's Island,
CARLOS,From the name CARL (Sp),
CARLOTA,From the name CHARLOTTE or CAROLINE (Sp),
CARLOTTA,Feminine form of CHARLES,
CARLTON,From the name CARLETON,
CARLY,From the name CARLOTTA,
CARMEL,A Vineyard,
CARMELA,From the name CARMEL,
CARMELITA,From the name CARMEL,
CARMEN,Song,
CARMINE,Song,
CAROL,Melody,
CAROLENA,Little and Womanly,
CAROLINE,From the name CAROL AND LINDA,
CAROLYN,From the name CAROL AND LINDA,
CARON,Contraction of CAROLINE,
CARR,From the name KERR,
CARRICK,A Rock,
CARRIE,From the name CAROL,
CARRIEANN,Gracious and Womanly,
CARSON,Son of Carr,
CARSYN,Son of Carr,
CARTER,Driver of a Cart,
CARVER,Wood Carver,
CARY,From the name CARR,
CASEY,Brave,
CASHLIN,Little Castle,
CASIMIR,Peacemaker,
CASONDRA,Not to be believed,
CASPAR,From the name CASPER,
CASPER,Treasurer,
CASSANDRA,She who is Ignored,
CASSIA,Spicy Cinnamon,
CASSIDY,Clever,
CASSIUS,Vain,
CATHERINE,Pure,
CATHY,From the name CATHERINE,
CATRIN,Pure (Wl),
CAYLA,From the name CATHERINE,
CEANA,God is Gracious,
CEARO,Sorrow,
CECE,From the name CECILIA (Ir),
CECIL,Blind,
CECILE,Blind,
CECILIA,Blind,
CECILY,From the name CECILIA (Ir),
CEDRIC,Chief,
CELESTE,From the Sky,
CELESTYN,Heaven (Po),
CELIA,Blind,
CELINA,Moon,
CELINE,Moon,
CERISE,Cherry (Fr),
CESAR,Long Haired,
CHAD,Battle,
CHAELA,Who is Like God?,
CHAELI,Who is Like God?,
CHAILYN,Life,
CHAIM,To Life,
CHALSIE,Seaport,
CHANA,Gracious,
CHANCE,Chancellor,
CHANCELLOR,Keeper of Records,
CHANDLER,Candle Maker,
CHANDRA,Moon-Like,
CHANNON,From the name SHANNON,
CHANTAL,Rocky Land or Singer,
CHANTEL,Rocky Land or Singer,
CHARIS,From the name CHARISSE,
CHARISSE,Grace, Kindness
CHARITY,Charity,
CHARLA,From CHARLOTTE,
CHARLEE,FROM CHARLES,
CHARLEIGH,Man,
CHARLENE,From the name CHARLES,
CHARLES,Manly,
CHARLOT,From the name CHARLOTTE,
CHARLOTTE,Little and Womanly,
CHARMAINE,Bountiful Orchard,
CHARO,From the name CAROL,
CHARS,From the name CHARLES,
CHAS,From the name CHARLES,
CHASE,Hunter,
CHASTITY,Purity,
CHAUNCEY,Chancellor,
CHAVA,Life,
CHAVI,Female Child,
CHAYLSE,Seaport,
CHECHE,Small Thing (Af),
CHELSA,Harbor,
CHELSEA,Port of Ships,
CHELSI,Seaport,
CHELSIA,From CHELSEA,
CHEN,Great (Ch),
CHENEY,Little Great One,
CHENOA,Bird of Peace (Nat.Am),
CHER,From the name CHERYL,
CHERI,From the name CHERYL,
CHERIE,Beloved,
CHERLIN,From CHER and LIN,
CHERRY,From the name CHERYL,
CHERYL,Beloved,
CHESNA,Bringing Peace,
CHESTER,A Fortress,
CHET,From the name CHESTER,
CHEYENNE,People of Alien Speech (Nat.Am),
CHEYNE,Form of SHANE,
CHEZARINA,From the name Cesar,
CHHAYA,Season's Beginning,
CHICK,From the name CHARLES,
CHICO,From the name FRANCIS (Sp),
CHILL,From the name CHILTON,
CHILTON,A Town By the River,
CHIMELU,Made of God (Af),
CHINA,From China,
CHIP,Chipping Sparrow,
CHIPO,A Gift (Af),
CHLOE,Blooming,
CHLORIS,Pale,
CHRIS,From the name CHRISTOPHER,
CHRISSY,From the name CHRISTOPHER,
CHRISTA,From the name CHRISTOPHER,
CHRISTIAN,From the name CHRISTOPHER,
CHRISTIANA,Christian,
CHRISTINA,Christian,
CHRISTINE,From the name CHRISTOPHER,
CHRISTOPHER,Christ-bearer,
CHRISTY,From the name CHRISTOPHER,
CHUCK,From the name CHARLES,
CHUMANI,Dew Drop (Nat.Am),
CHUN,Nature's Renewal (Ch),
CHYNA,From the name CHINA,
CHYNNA,From the name CHINA,
CIAN,Ancient,
CIANNA,God is Gracious,
CIARA,Saint (Ir),
CICELY,From the name CECILIA,
CICERO,The Historian,
CICILY,From the name CECILIA,
CID,Lord,
CIEL,From Heaven,
CINDY,From the name CYNTHIA,
CIRA,Sun (It),
CIRILA,Ladylike,
CIRO,From the name CECERO,
CIROCCO,Ancient Egyptian Wind,
CISSY,From the name CECILIA,
CLAIRE,From the name CLARA,
CLARA,Clear,
CLARAL,Clear,
CLARE,From the name CLARA,
CLARENCE,Clear,
CLARISSA,Brilliant,
CLARK,Clergyman,
CLARKE,From the name CLARK,
CLAUDE,Lame,
CLAUDIA,Feminine form of CLAUDE,
CLAY,From the name CLAYTON,
CLAYLAND,From the name CLAYTON,
CLAYTON,Town on Clay Land,
CLEA,From the name CLEO,
CLEANTHA,In Praise of Flowers,
CLEATUS,Illustrious,
CLEAVANT,A Steep Bank,
CLEAVE,From the name CLEAVON,
CLEAVON,From the name CLEAVANT,
CLEM,From the name CLEMENT,
CLEMENS,From the name CLEMENT,
CLEMENT,Gentle,
CLEMENTINE,Merciful,
CLEO,To Praise,
CLETA,Dim. of CLEOPATRA,
CLEVELAND,Land of High Cliffs,
CLIFF,From the name CLIFFORD,
CLIFFORD,From a Steep Cliff,
CLIFTON,From a Town near a Cliff,
CLINT,From the name CLINTON,
CLINTON,Town on a Hill,
CLIO,From the name CLEO,
CLITUS,General,
CLIVE,Cliff,
CLODIA,Form of CLAUDIA,
CLORIS,From the name CHLORIS,
CLOVE,A Nail,
CLOVER,Meadow Flower,
COCHETA,That You Cannot Imagine (Nat.Am),
CODY,A Cushion,
COLE,From the name NICHOLAS,
COLETTE,From the name NICOLE (Fr),
COLIGNY,From COLOGNE (Fr),
COLIN,Child,
COLISTA,Most Beautiful,
COLLEEN,Girl,
COLLICE,Form of COLLEEN,
COLLIN,From the name COLIN,
COLM,Dove,
COLMAN,Little Dove,
COLTON,Coal Town,
COLUMBIA,A Dove,
COMFORT,To Strengthen Greatly,
CONAN,From the name CONNOR,
CONLAN,Hero,
CONLEY,Hero,
CONNER,Wise,
CONNIE,From the name CONSTANCE,
CONNLEY,Hero,
CONNOR,Knowledgeable,
CONOR,From the name CONNOR,
CONRAD,Bold,
CONSTANCE,To Be Knowledgable,
CONSTANTINE,Firm,
CONSUELA,Consolation,
CONSUELO,Consolation (Sp),
CONTENT,Satisfied,
CONWAY,Hound of the plain,
CONYERS,City in Georgia,
COOPER,Barrel Maker,
CORA,Heart,
CORAL,Small Stone,
CORALIA,Like Coral (Gk),
CORALIE,Little Maiden,
CORBIN,A Raven,
CORBY,Dark as a Raven,
CORDELIA,Daughter of the Sea,
CORENTINE,Little Cora,
COREY,Helmet,
CORIN,A Maiden,
CORINA,Maiden,
CORINE,From the name CORINNE,
CORINNA,Maiden,
CORINNE,Maiden,
CORLISS,From the name CARL or CARLISLE (Br),
CORNELIA,From the name CORNELIUS,
CORNELIUS,Horn-Colored,
CORNELL,From the name CORNELIUS,
CORT,Bold or Short,
CORY,Helmet,
COSETTE,Victorious People,
COSIMA,Universe,
COSMO,The Universe,
COTY,Small Slope,
COURTNEY,From the Court,
COY,Quiet,
COYE,From the name COY,
CRAIG,From the Crag,
CREIGHTON,Near the creek,
CREOLA,Native to the Land,
CRESCENT,To Grow,
CRETE,Dim. of LUCRETIA,
CREVAN,Fox,
CRISPIN,Curly Haired,
CRISTY,From the name CHRISTOPHER,
CRYSTAL,A Clear,
CULLEN,Handsome,
CURRY,A Marsh or an herb,
CURT,From the name CURTIS,
CURTIS,Courteous,
CUTHBERT,Brilliant,
CUTLER,Knife Maker,
CUTTER,Gem Cutter,
CY,From the name CYRIL,
CYBELE,Mother,
CYBIL,Soothsayer,
CYBILL,Soothsayer,
CYD,A Public Hill,
CYMA,Flourish (Gk),
CYNDI,From the name CYNTHIA,
CYNTHIA,The Moon Personified,
CYRAH,Enthroned (Af),
CYRIL,Lordly,
CYRUS,Sun,
D'LORAH,Harold backwards,
DA-XIA,Long Summer (Ch),
DACEY,Down Below,
DAFYDD,Beloved (Wl),
DAGAN,The Earth,
DAGMAR,Glorious,
DAHLIA,Flower named for botanist A. Dahl,
DAISY,Daisy Flower,
DAKOTA,Native American Tribal Name,
DALE,From the name DALTON,
DALIA,A Branch,
DALILA,Water Bearer,
DALIT,Draw Water (Hb),
DALLAS,Wise,
DALLIN,From the Dale,
DALTON,The Town Near the Valley,
DALVA,Valley,
DAMIAN,Taming (Gk),
DAMITA,Baby Princess (Sp),
DAMON,Day (Bt) or Constant (Gk),
DAN,From the name DANIEL,
DANA,Mother of Gods,
DANAE,God is my Judge (Fr),
DANE,God is my Judge or From Denmark,
DANI,My Judge,
DANICA,Morning Star,
DANIEL,God is my Judge,
DANIELA,God is My Judge,
DANIELLE,From the name DANIEL,
DANIKA,Morning Star,
DANIL,Form of DANIEL,
DANNIELL,God is my Judge,
DANNY,From the name DANIEL,
DANTE,Lasting,
DANTON,From the name DANTE,
DANYL,From the name Daniel,
DAPHNE,Laurel Tree,
DARA,Compassion,
DARAY,Dark,
DARBY,Free Man,
DARCY,Dark,
DARD,Son of ZEUS,
DARIA,Queenly,
DARIAN,From the name DARIN,
DARIN,Precious Present,
DARIO,Affluent,
DARLA,Dear,
DARLENE,Little Darling,
DARNELL,Hidden Nook,
DARRELL,From the name DARRYL,
DARREN,Great,
DARRIN,From the name DARREN,
DARRION,From the name Darren,
